part_id,name,price,available
apple-repair-parts,Digitizer with Home Button for iPad Air (EXPRESS) - White,$10.99,True
apple-repair-parts,MFi Lightning Charging Cable for iPhone / iPad - White,$5.99,True
apple-repair-parts,LCD Assembly for iPod Touch 5th Gen / 6th Gen / 7th Gen - Black,$19.99,True
apple-repair-parts,Front Camera and Proximity Sensor Flex for iPhone 8 Plus,$6.99,True
apple-repair-parts,Digitizer for iPad 3 / iPad 4 (SELECT) - Black,$6.99,True
apple-repair-parts,Digitizer with Home Button for iPad 3 / iPad 4 (EXPRESS) - Black,$7.99,True
apple-repair-parts,Display Assembly for iPhone 5 (SELECT) - Black,$13.99,True
apple-repair-parts,"LCD Assembly for iPad Pro 12.9"" (1st Gen) (PRIME) - White",$146.99,True
apple-repair-parts,Display Assembly with Small Parts for iPhone 8 Plus (SELECT - EXPRESS) - White,$31.99,True
apple-repair-parts,Rear Camera for iPhone 7,$26.99,True
apple-repair-parts,Front Camera and Proximity Sensor Flex for iPhone 6,$3.99,True
apple-repair-parts,USB Wall Plug for Apple Devices - White,$5.99,False
apple-repair-parts,Back Housing for iPhone SE (GENERIC) - Gold,$15.99,False
apple-repair-parts,LCD Panel for iPad 3 / iPad 4,$31.99,True
apple-repair-parts,Digitizer for iPad Air / iPad 5 (SELECT) - White,$8.99,True
apple-repair-parts,Front Camera and Proximity Sensor Flex for iPhone 6S Plus,$6.99,True
apple-repair-parts,Battery with Adhesive for iPhone 5C (SELECT),$7.99,True
apple-repair-parts,Tempered Glass for iPhone 6 / 6S / 7 / 8 (NO Retail Packaging) (Must be ordered in sets of 10),$1.99,True
apple-repair-parts,Display Assembly for iPhone 5 (SELECT) - White,$9.99,True
apple-repair-parts,Display Assembly with Small Parts for iPhone 8 / SE2 (SELECT - EXPRESS) - White,$28.99,True
apple-repair-parts,Digitizer with Home Button for iPad 2 (EXPRESS) - Black,$7.99,True
apple-repair-parts,Display Assembly with Small Parts for iPhone 8 / SE2 (SELECT - EXPRESS) - Black,$28.99,False
apple-repair-parts,Digitizer for iPad 3 / iPad 4 (PRIME) - White,$9.99,True
apple-repair-parts,Front Camera and Proximity Sensor Flex for iPhone 6S,$6.99,False
apple-repair-parts,Display Assembly for iPhone 5C (Prime),$15.99,True
apple-repair-parts,Display Assembly with Small Parts for iPhone SE (SELECT - EXPRESS) - Black,$19.99,True
apple-repair-parts,Display Assembly with Small Parts for iPhone 5S (SELECT - EXPRESS) - Black,$18.99,True
apple-repair-parts,Digitizer for iPad Mini 3 (PRIME) - White,$19.99,True
apple-repair-parts,Display Assembly with Small Parts for iPhone 8 Plus (SELECT - EXPRESS) - Black,$31.99,True
apple-repair-parts,Display Assembly with Small Parts for iPhone 5C (SELECT - EXPRESS),$18.99,True
apple-repair-parts,Display Assembly with Small Parts for iPhone SE (SELECT - EXPRESS) - White,$19.99,True
apple-repair-parts,Tempered Glass for iPhone 6 Plus / 6S Plus / 7 Plus / 8 Plus (NO Retail Packaging) (Must be ordered in sets of 10),$1.99,True
apple-repair-parts,MD Tempered Glass for iPad 2 / iPad 3 / iPad 4,$3.99,True
apple-repair-parts,Battery with Adhesive for iPhone SE (SELECT),$7.99,True
apple-repair-parts,Front Camera and Proximity Sensor Flex Cable for iPhone 5S / SE,$2.99,True
apple-repair-parts,Rear Camera for iPhone 8 Plus,$74.99,True
apple-repair-parts,Digitizer for iPad Mini 3 (SELECT) - White,$9.99,True
apple-repair-parts,Digitizer for iPad 2 (PRIME) - Black,$9.99,True
apple-repair-parts,Front Camera and Proximity Sensor Flex for iPhone 8 / SE2,$9.99,True
apple-repair-parts,Display Assembly with Small Parts for iPhone 5S (SELECT - EXPRESS) - White,$20.99,True
apple-repair-parts,Display Assembly for iPhone 5 (Prime) - Black,$14.99,True
apple-repair-parts,LCD Panel for iPad 2,$24.99,True
apple-repair-parts,MD Tempered Glass for iPhone 6 Plus / 6S Plus,$2.49,True
apple-repair-parts,Front Camera and Proximity Sensor Flex for iPhone 6 Plus,$6.99,True
apple-repair-parts,Home Button Flex Cable for iPad 5 / 6 - Black (No Touch ID),$1.99,True
apple-repair-parts,Display Assembly for Apple Watch Series 2 - 42mm,$193.99,True
apple-repair-parts,Digitizer for iPad Mini 3 (PRIME) - Black,$19.99,True
apple-repair-parts,Rear Camera for iPhone SE,$7.99,True
apple-repair-parts,"Tempered Glass Shield (0.33mm) (Retail Packaging) for iPad Pro (9.7"")",$6.99,True
apple-repair-parts,Digitizer with Home Button for iPad 2 (EXPRESS) - White,$7.99,True
apple-repair-parts,Display Assembly for iPhone 5 (Prime) - White,$14.99,True
apple-repair-parts,Audio Jack Flex with Board for iPad 3 / 4 (WiFi),$9.99,True
apple-repair-parts,Digitizer for iPad 2 (PRIME) - White,$9.99,True
apple-repair-parts,Magsafe 2 Charger for MacBook Air (45W) (T Connector) (Mid 2012 & Newer) (Generic),$15.99,True
apple-repair-parts,"Tempered Glass for iPad Air / iPad Air 2 / iPad 5 / iPad 6 / iPad Pro 9.7"" (No Retail Packaging) (Must be ordered in packs of 10)",$5.99,True
apple-repair-parts,Rear Camera for iPhone 6S,$10.99,True
apple-repair-parts,LCD Assembly for iPod Touch 4th Gen - Black,$23.99,False
apple-repair-parts,Adhesive (Battery) for iPhone 6 / 6S,$0.99,True
apple-repair-parts,Rear Camera Assembly for iPhone X,$49.99,True
apple-repair-parts,Home Button Flex Cable for iPad Air ,$1.99,False
